"date","home.team","home.score","away.team","away.score"
"2020-12-29","Sevilla",2,"Villarreal",0
"2020-12-29","Barcelona",1,"Eibar",1
"2020-12-29","Cadiz",0,"Valladolid",0
"2020-12-29","Levante",4,"Betis",3
"2020-12-30","Granada",2,"Valencia",1
"2020-12-30","Ath Madrid",1,"Getafe",0
"2020-12-30","Celta",2,"Huesca",1
"2020-12-30","Elche",1,"Real Madrid",1
"2020-12-31","Ath Bilbao",0,"Sociedad",1
"2020-12-31","Osasuna",1,"Alaves",1
"2021-01-02","Villarreal",2,"Levante",1
"2021-01-02","Betis",1,"Sevilla",1
"2021-01-02","Getafe",0,"Valladolid",1
"2021-01-02","Real Madrid",2,"Celta",0
"2021-01-03","Ath Bilbao",1,"Elche",0
"2021-01-03","Alaves",1,"Ath Madrid",2
"2021-01-03","Eibar",2,"Granada",0
"2021-01-03","Sociedad",1,"Osasuna",1
"2021-01-03","Huesca",0,"Barcelona",1
"2021-01-04","Valencia",1,"Cadiz",1
"2021-01-06","Ath Bilbao",2,"Barcelona",3
"2021-01-08","Celta",0,"Villarreal",4
"2021-01-09","Sevilla",3,"Sociedad",2
"2021-01-09","Granada",0,"Barcelona",4
"2021-01-09","Osasuna",0,"Real Madrid",0
"2021-01-10","Levante",2,"Eibar",1
"2021-01-10","Cadiz",3,"Alaves",1
"2021-01-10","Valladolid",0,"Valencia",1
"2021-01-11","Elche",1,"Getafe",3
"2021-01-11","Huesca",0,"Betis",2
"2021-01-12","Granada",2,"Osasuna",0
"2021-01-12","Ath Madrid",2,"Sevilla",0
"2021-01-19","Cadiz",2,"Levante",2
"2021-01-19","Valladolid",2,"Elche",2
"2021-01-19","Alaves",1,"Sevilla",2
"2021-01-20","Getafe",1,"Huesca",0
"2021-01-20","Betis",2,"Celta",1
"2021-01-20","Villarreal",2,"Granada",2
"2021-01-21","Valencia",1,"Osasuna",1
"2021-01-21","Eibar",1,"Ath Madrid",2
"2021-01-22","Levante",2,"Valladolid",2
"2021-01-23","Huesca",0,"Villarreal",0
"2021-01-23","Sevilla",3,"Cadiz",0
"2021-01-23","Sociedad",2,"Betis",2
"2021-01-23","Alaves",1,"Real Madrid",4
"2021-01-24","Osasuna",3,"Granada",1
"2021-01-24","Elche",0,"Barcelona",2
"2021-01-24","Celta",1,"Eibar",1
